provider_name,provider_url,name,url,address,care_types,price,rating,image_url,description,page_num
ALG Senior,https://www.seniorly.com/providers/alg-senior,Guilford House,https://www.seniorly.com/assisted-living/north-carolina/greensboro/guilford-house,"5918 Netfield Road, Greensboro, NC 27455","Assisted Living, Memory Care","From $4,300",9.3,https://cdn.seniorly.com/images/1200x/0590d029c4b2eb356c5818d4c43d7da94426714f/Screen%20Shot%202023-01-06%20at%203.12.17%20PM.png,"Guilford House is a thriving senior living community that stands out for its dedication to providing exceptional care and medical services. The community is renowned for its memory care services, ensuring residents with Alzheimer's and other forms of dementia receive specialized attention and support. The care team at Guilford House is well-trained and committed to addressing the unique needs of e...",1
ALG Senior,https://www.seniorly.com/providers/alg-senior,Alamance House,https://www.seniorly.com/assisted-living/north-carolina/burlington/alamance-house,"2766 Grand Oaks Boulevard, Burlington, NC 27215","Assisted Living, Memory Care","From $5,100",9.1,https://cdn.seniorly.com/images/1200x/b1d99d75a208454e7144d6c1684f117083eae6e3/Screen%20Shot%202022-12-20%20at%2010.17.51%20PM.png,"Alamance House is a welcoming senior living community that prides itself on providing exceptional care and medical services. Nestled in a convenient location with easy access to local amenities, this community ensures that residents can enjoy both comfort and security in their daily lives. Residents at Alamance House benefit from comprehensive healthcare services, including 24-hour supervision, m...",1
ALG Senior,https://www.seniorly.com/providers/alg-senior,Cherry Springs Village,https://www.seniorly.com/assisted-living/north-carolina/hendersonville/cherry-springs-village,"358 Clear Creek Road, Hendersonville, NC 28792",Assisted Living,"From $4,800",9.1,https://cdn.seniorly.com/images/1200x/b6b001b2d010a864e2b839d3422c52d7661ff5fc/Screen%20Shot%202023-01-06%20at%201.56.01%20PM.png,"Cherry Springs Village stands as a beacon of compassionate care and vibrant living for seniors. Nestled in a serene neighborhood, it offers a safe and supportive environment where residents can thrive. The community is well-regarded for its focus on health and wellness, providing an array of medical services tailored to meet the diverse needs of its residents. With 24-hour supervision and a dedica...",1
ALG Senior,https://www.seniorly.com/providers/alg-senior,Golden Pond Communities,https://www.seniorly.com/assisted-living/florida/winter-garden/golden-pond-communities,"402 Lakeview Road, Winter Garden, FL 34787",Assisted Living,"From $4,820",8.9,https://cdn.seniorly.com/images/1200x/38e4fabd157cfcd36d500d1408f9839883cbaa46/golden-pond-communities-winter-garden_05.png,"""In checking with most of the independent senior living places in Winter Garden I found The Golden Pond to be the best thers is. It is so nice to pay one price which includes all utilities. Also you get a washer/dryer and weekly housekeeing. And a round the clock consier service. I don't know of another independent communities with all these services. And it is great living here. We have ga..."" - Robert",1
ALG Senior,https://www.seniorly.com/providers/alg-senior,Shelby Manor,https://www.seniorly.com/assisted-living/north-carolina/shelby/shelby-manor,"1176 Wyke Road, Shelby, NC 28150",Assisted Living,"From $5,460",8.9,https://cdn.seniorly.com/images/1200x/0e1fd55f4cc741c9cf64d3a1b2793374e52d9add/shelby-manor_4.jpg,"Shelby Manor is a vibrant senior living community that stands out for its comprehensive care and medical services, ensuring residents enjoy a fulfilling and healthy lifestyle. The community is dedicated to providing exceptional care, with a focus on individualized attention to meet the unique needs of each resident. From assistance with daily tasks to medication management, Shelby Manor ensures th...",1
ALG Senior,https://www.seniorly.com/providers/alg-senior,Rose Glen Manor,https://www.seniorly.com/assisted-living/north-carolina/north-wilkesboro/rose-glen-manor,"240 Independence Avenue, North Wilkesboro, NC 28659","Assisted Living, Memory Care","From $5,400",8.9,https://cdn.seniorly.com/images/1200x/fb0ca372f753106e33d3cd3f1f381d02/RoseGlenManor_Photos_01_Seniorly.jpg,"Rose Glen Manor stands as a beacon of care and comfort, offering an environment where seniors can thrive with independence and dignity. This senior living community is committed to providing exceptional care and medical services, ensuring that each resident's unique needs are met with compassion and expertise. With a focus on promoting health and wellness, Rose Glen Manor offers a comprehensive ra...",1
ALG Senior,https://www.seniorly.com/providers/alg-senior,Rose Tara Senior Living,https://www.seniorly.com/memory-care/north-carolina/king/rose-tara-senior-living,"125 Plantation Drive, King, NC 27021",Memory Care,"From $5,700",8.9,https://cdn.seniorly.com/images/1200x/835661f9602998f170194ebcaa4dcf796a6a5aac/Rose%20Tara%20Senior%20Living_01.jpeg,"Nestled amidst the charming landscape of North Carolina, Rose Tara Senior Living stands as a beacon of compassionate care and community spirit. With its dedicated focus on providing exceptional care and medical services, residents are assured of a nurturing environment that prioritizes their well-being and happiness. The community boasts a robust array of health services, including 12-16 hour nurs...",1
ALG Senior,https://www.seniorly.com/providers/alg-senior,The Hermitage,https://www.seniorly.com/assisted-living/north-carolina/sylva/the-hermitage,"185 Brickfarm Road, Sylva, NC 28779","Assisted Living, Memory Care","From $4,900",9.1,https://cdn.seniorly.com/images/1200x/79929ebab59e1ce3bf30fe8747de2f82f6b287a5/The_Hermitage_Assisted_Living_Memory_Care-0291-scaled.jpeg,"The Hermitage stands as a beacon of exceptional senior living, nestled within the picturesque western North Carolina mountains. This community is dedicated to ensuring that seniors live their best lives, offering a blend of comfort and comprehensive care services. At the core of The Hermitage's mission is a commitment to providing superior care and medical services, especially for those requiring ...",1
ALG Senior,https://www.seniorly.com/providers/alg-senior,The Landings of Northport,https://www.seniorly.com/assisted-living/alabama/northport/the-landings-of-northport,"951 Rose Drive, Northport, AL 35476","Assisted Living, Independent Living","From $2,840",9.1,https://cdn.seniorly.com/images/1200x/fcc7302d4833f533586abf4aaa016872/BrookdaleNorthport_Photos_01_Seniorly.jpg,"The Landings of Northport is a senior living community dedicated to providing exceptional care and medical services. Residents enjoy a safe, secure environment where their well-being is the top priority. The community offers a range of comprehensive care services, including therapy, pharmacy, and provider services right on site. Residents benefit from 24/7 dedicated caregivers who assist with dail...",1
ALG Senior,https://www.seniorly.com/providers/alg-senior,Twelve Oaks,https://www.seniorly.com/assisted-living/north-carolina/mount-airy/twelve-oaks,"1297 Galax Trail, Mount Airy, NC 27030",Assisted Living,"From $4,500",8.9,https://cdn.seniorly.com/images/1200x/96583306a35f0257b70e628a0bac6376f3725ce0/twelve-oaks-exterior.jpg,"Twelve Oaks, nestled in the charming locale of North Carolina, is a vibrant senior living community renowned for its exceptional care and medical services. This large community is dedicated to ensuring residents receive comprehensive support tailored to their individual needs. With 24-hour nursing and supervision, Twelve Oaks prioritizes the health and well-being of its residents. The community's ...",1
ALG Senior,https://www.seniorly.com/providers/alg-senior,Woodridge,https://www.seniorly.com/assisted-living/north-carolina/monroe/woodridge-assisted-living-facility,"2515 Fowler Secrest Road, Monroe, NC 28110","Assisted Living, Memory Care","From $4,600",8.9,https://cdn.seniorly.com/images/1200x/5d6585be5ed66180ebb20fe8a7e3072b57458ebc/IMG_9613.jpeg,"Woodridge is a welcoming senior living community that places a strong emphasis on personalized care and medical services to ensure the well-being of its residents. With a dedicated team of caregivers, Woodridge offers a comprehensive range of medical services that include medication management, therapy services, and onsite pharmacy services, ensuring that residents receive the best possible care t...",1
ALG Senior,https://www.seniorly.com/providers/alg-senior,Zebulon House,https://www.seniorly.com/assisted-living/north-carolina/zebulon/zebulon-house,"551 Pony Road, Zebulon, NC 27597","Assisted Living, Memory Care","From $4,900",9.1,https://cdn.seniorly.com/images/1200x/641b0436a22aff7757d65bccda32a45b6f9d44f7/IMG_6682.jpg,"Nestled in the welcoming community of Zebulon, Zebulon House offers a safe and nurturing environment for seniors seeking assisted living and memory care services. At this vibrant community, residents enjoy a balance of independence and comprehensive care, tailored to meet their individual needs. The dedicated staff is available 24/7, ensuring that each resident receives personal attention and assi...",1
ALG Senior,https://www.seniorly.com/providers/alg-senior,Wellington Oaks,https://www.seniorly.com/memory-care/north-carolina/greensboro/wellington-oaks,"3004 Dexter Avenue, Greensboro, NC 27407",Memory Care,"From $4,900",9.1,https://cdn.seniorly.com/images/1200x/9d594017f0b23e596fa6f6f0761e2b6612acd0cc/Wellington_Oaks_Memory_Care-0407-scaled.webp,"Wellington Oaks is a distinguished senior living community, renowned for its exceptional care and medical services, particularly for residents with memory care needs. The community is thoughtfully designed to ensure the safety and well-being of its residents, with a dedicated team of professionals available around the clock. Residents benefit from personalized care plans that include medication ma...",1
ALG Senior,https://www.seniorly.com/providers/alg-senior,Currituck House,https://www.seniorly.com/assisted-living/north-carolina/moyock/currituck-house,"141 Moyock Landing Drive, Moyock, NC 27958","Assisted Living, Memory Care","From $5,000",8.6,https://cdn.seniorly.com/images/1200x/85b537530f343172b8f1aeb69a6e7372/CurrituckHouse_Photos_01_Seniorly.jpg,"Currituck House stands as a beacon of excellence in the realm of senior living, providing residents with top-notch care and medical services. Nestled in the serene coastal region of North Carolina, this community is dedicated to offering a nurturing environment where seniors can thrive. The staff at Currituck House is committed to personalized care, ensuring that each resident's unique needs are m...",1
ALG Senior,https://www.seniorly.com/providers/alg-senior,Caswell House,https://www.seniorly.com/assisted-living/north-carolina/yanceyville/caswell-house,"535 US-158, Yanceyville, NC 27379","Assisted Living, Memory Care","From $5,900",8.6,https://cdn.seniorly.com/images/1200x/9b168237ccdc16c164fd6171cb95e7ff0205d9b0/Screen%20Shot%202022-12-27%20at%209.44.19%20AM.png,"Caswell House stands as a beacon of comprehensive care and well-being, offering a nurturing environment for its residents. Located in a serene, wooded setting, this senior living community is dedicated to ensuring that each resident leads a fulfilling life. The community is equipped with a range of medical and care services, including 12-16 hour nursing care, medication management, and 24-hour sup...",1
ALG Senior,https://www.seniorly.com/providers/alg-senior,Hayesville House,https://www.seniorly.com/memory-care/north-carolina/hayesville/hayesville-house,"480 Old Highway 64 W, Hayesville, NC 28904",Memory Care,"From $4,880",8.6,https://cdn.seniorly.com/images/1200x/1e80704f370e82a22b53be87ea01489c91e1b80f/Screen%20Shot%202023-01-06%20at%203.16.51%20PM.png,"Hayesville House is a welcoming and nurturing senior living community dedicated to providing exceptional care and support to its residents. This vibrant community offers a comprehensive range of medical services, including 12-16 hour nursing care, medication management, and 24-hour supervision, ensuring that residents receive the attention and assistance they need. The specialized memory care prog...",1
ALG Senior,https://www.seniorly.com/providers/alg-senior,Hope Springs,https://www.seniorly.com/assisted-living/north-carolina/red-springs/hope-springs,"104 Hope Lane, Red Springs, NC 28377",Assisted Living,"From $4,500",8.4,https://cdn.seniorly.com/images/1200x/333c48513d6deebf83e8728bfd4b6088d5d8b309/Screen%20Shot%202023-01-06%20at%203.28.00%20PM.png,"Hope Springs is a welcoming senior living community that stands out for its commitment to providing exceptional care and medical services tailored to each resident's needs. The community is dedicated to fostering a supportive environment where residents can thrive, offering 12-16 hour nursing care, medication management, and assistance with daily living activities such as bathing and dressing. Wit...",1
ALG Senior,https://www.seniorly.com/providers/alg-senior,Franklin House,https://www.seniorly.com/assisted-living/north-carolina/franklin/franklin-house,"186 One Center Court, Franklin, NC 28734","Assisted Living, Memory Care","From $2,400",8.6,https://cdn.seniorly.com/images/1200x/16522ea9cbbd5f380eaa88539b542791/Franklin%2520House%2520007.JPG,"Franklin House stands as a beacon of comprehensive care and vibrant community living. Nestled in a serene neighborhood, this senior living community is committed to offering unparalleled medical and care services, ensuring that each resident receives the attention and support they deserve. The community is equipped with resources that include 12-16 hour nursing, medication management, and a 24-hou...",1
ALG Senior,https://www.seniorly.com/providers/alg-senior,Somerset Court Of Mocksville,https://www.seniorly.com/assisted-living/north-carolina/mocksville/somerset-court-of-mocksville,"150 Ken Dwiggins Drive, Mocksville, NC 27028",Assisted Living,"From $4,400",8.6,https://cdn.seniorly.com/images/1200x/75d4b1f27af97e481d5b147ae293baf77e99abaf/Screen%20Shot%202023-01-06%20at%204.16.40%20PM.png,"Nestled in the heart of North Carolina, Somerset Court of Mocksville offers a vibrant and supportive environment for seniors looking to maintain their independence while receiving exceptional care. With a focus on holistic well-being, this community ensures that residents live their best lives through a variety of personalized services and amenities. Somerset Court of Mocksville is dedicated to p...",1
ALG Senior,https://www.seniorly.com/providers/alg-senior,Somerset Court Of Goldsboro,https://www.seniorly.com/assisted-living/north-carolina/goldsboro/somerset-court-of-goldsboro,"603 Lockhaven Court, Goldsboro, NC 27530",Assisted Living,"From $5,850",8.6,https://cdn.seniorly.com/images/1200x/1a0a8ed54f4c171866dee501570ab39d8a4ef11d/Screen%20Shot%202023-01-06%20at%204.14.38%20PM.png,"""Hello Somerset staff! I am Apostle, Dr. Ellis Melvin, my mother is Minister Ella Gamble who lives in your residence. Thank you for taking care of my mother and showing her kindness and love may God continue to bless you and the residence…."" - Dr. Ellis",1
